Club,Elo,From,To
Man United,1857.46655273,2017-05-25,2017-07-27
Man United,1857.4798584,2017-07-28,2017-08-03
Man United,1857.80200195,2017-08-04,2017-08-13
Man United,1863.12280273,2017-08-14,2017-08-15
Man United,1865.73864746,2017-08-16,2017-08-16
Man United,1865.73864746,2017-08-17,2017-08-17
Man United,1866.90808105,2017-08-18,2017-08-19
Man United,1876.48974609,2017-08-20,2017-08-22
Man United,1876.48974609,2017-08-23,2017-08-23
Man United,1878.04846191,2017-08-24,2017-08-24
Man United,1878.34301758,2017-08-25,2017-08-26
Man United,1882.75256348,2017-08-27,2017-08-27
Man United,1882.75256348,2017-08-28,2017-09-09
Man United,1879.17504883,2017-09-10,2017-09-12
Man United,1883.11889648,2017-09-13,2017-09-13
Man United,1886.85070801,2017-09-14,2017-09-14
Man United,1884.01403809,2017-09-15,2017-09-17
Man United,1890.81262207,2017-09-18,2017-09-20
Man United,1890.81262207,2017-09-21,2017-09-23
Man United,1895.84765625,2017-09-24,2017-09-26
Man United,1898.40673828,2017-09-27,2017-09-27
Man United,1918.05664062,2017-09-28,2017-09-28
Man United,1916.453125,2017-09-29,2017-09-30
Man United,1919.18676758,2017-10-01,2017-10-14
Man United,1919.16125488,2017-10-15,2017-10-17
Man United,1924.48303223,2017-10-18,2017-10-18
Man United,1930.8404541,2017-10-19,2017-10-19
Man United,1928.4005127,2017-10-20,2017-10-21
Man United,1912.67004395,2017-10-22,2017-10-28
Man United,1919.57092285,2017-10-29,2017-10-31
Man United,1920.01037598,2017-11-01,2017-11-01
Man United,1928.20214844,2017-11-02,2017-11-02
Man United,1922.8692627,2017-11-03,2017-11-04
Man United,1922.8692627,2017-11-05,2017-11-05
Man United,1916.17687988,2017-11-06,2017-11-18
Man United,1919.36083984,2017-11-19,2017-11-21
Man United,1921.68286133,2017-11-22,2017-11-22
Man United,1906.21508789,2017-11-23,2017-11-23
Man United,1895.66467285,2017-11-24,2017-11-25
Man United,1897.49755859,2017-11-26,2017-11-28
Man United,1903.2166748,2017-11-29,2017-12-01
Man United,1903.2166748,2017-12-02,2017-12-02
Man United,1915.07971191,2017-12-03,2017-12-05
Man United,1917.54748535,2017-12-06,2017-12-06
Man United,1916.80554199,2017-12-07,2017-12-07
Man United,1920.68237305,2017-12-08,2017-12-09
Man United,1920.68237305,2017-12-10,2017-12-10
Man United,1912.18713379,2017-12-11,2017-12-12
Man United,1912.18713379,2017-12-13,2017-12-13
Man United,1914.02819824,2017-12-14,2017-12-17
Man United,1917.30688477,2017-12-18,2017-12-23
Man United,1913.92126465,2017-12-24,2017-12-26
Man United,1907.22143555,2017-12-27,2017-12-30
Man United,1900.15576172,2017-12-31,2018-01-01
Man United,1906.77258301,2018-01-02,2018-01-15
Man United,1909.85107422,2018-01-16,2018-01-20
Man United,1914.02526855,2018-01-21,2018-01-21
Man United,1914.02526855,2018-01-22,2018-01-31
Man United,1904.46704102,2018-02-01,2018-02-03
Man United,1906.0189209,2018-02-04,2018-02-10
Man United,1906.0189209,2018-02-11,2018-02-11
Man United,1892.21704102,2018-02-12,2018-02-13
Man United,1895.10583496,2018-02-14,2018-02-14
Man United,1899.1472168,2018-02-15,2018-02-15
Man United,1899.71276855,2018-02-16,2018-02-20
Man United,1899.50219727,2018-02-21,2018-02-21
Man United,1899.14575195,2018-02-22,2018-02-22
Man United,1898.99780273,2018-02-23,2018-02-25
Man United,1905.14318848,2018-02-26,2018-03-05
Man United,1908.88989258,2018-03-06,2018-03-06
Man United,1908.4831543,2018-03-07,2018-03-07
Man United,1903.28503418,2018-03-08,2018-03-08
Man United,1906.53991699,2018-03-09,2018-03-10
Man United,1913.30615234,2018-03-11,2018-03-13
Man United,1889.72473145,2018-03-14,2018-03-14
Man United,1887.72021484,2018-03-15,2018-03-15
Man United,1888.82373047,2018-03-16,2018-03-31
Man United,1892.02197266,2018-04-01,2018-04-05
Man United,1895.61230469,2018-04-06,2018-04-07
Man United,1907.14855957,2018-04-08,2018-04-12
Man United,1907.44458008,2018-04-13,2018-04-15
Man United,1891.27636719,2018-04-16,2018-04-18
Man United,1897.11755371,2018-04-19,2018-04-24
Man United,1900.15979004,2018-04-25,2018-04-26
Man United,1899.47839355,2018-04-27,2018-04-29
Man United,1904.70874023,2018-04-30,2018-05-02
